Dataset Database Index .y. group1 group2 n1 n2 statistic p p.signif
Moss KB45 Richness Index_value A B 67 64 3643.5 5.08e-12 ****
Moss KB45 Shannon Index_value A B 67 64 3295 1.17e-7 ****
Moss KB45 Simpson Index_value A B 67 64 3079 1.69e-5 ****
Moss KB45 Tail Index_value A B 67 64 3663 2.71e-12 ****
Moss KB45_GTDB Hill_1 Index_value A B 67 64 3049 3.12e-5 ****
Moss KB45_GTDB Hill_2 Index_value A B 67 64 2654 0.019 *
Moss KB45_GTDB Richness Index_value A B 67 64 3925.5 2.39e-16 ****
Moss KB45_GTDB Shannon Index_value A B 67 64 3049 3.12e-5 ****
Moss KB45_GTDB Simpson Index_value A B 67 64 2654 0.019 *
Moss KB45_GTDB Tail Index_value A B 67 64 3778 5.42e-14 ****
Moss KB90_GTDB Hill_1 Index_value A B 67 64 3648 4.43e-12 ****
Moss KB90_GTDB Hill_2 Index_value A B 67 64 3137 4.88e-6 ****
Moss KB90_GTDB Richness Index_value A B 67 64 4022.5 5.03e-18 ****
Moss KB90_GTDB Shannon Index_value A B 67 64 3648 4.43e-12 ****
Moss KB90_GTDB Simpson Index_value A B 67 64 3137 4.88e-6 ****
Moss KB90_GTDB Tail Index_value A B 67 64 3841 5.65e-15 ****
Moss MOTUS4 Hill_1 Index_value A B 6 3 10 0.905 ns
Moss MOTUS4 Hill_2 Index_value A B 6 3 10 0.905 ns
Moss MOTUS4 Richness Index_value A B 6 3 11 0.697 ns
Moss MOTUS4 Shannon Index_value A B 6 3 10 0.905 ns
Moss MOTUS4 Simpson Index_value A B 6 3 10 0.905 ns
Moss MOTUS4 Tail Index_value A B 6 3 11 0.714 ns
Moss MPA_db2025 Hill_1 Index_value A B 67 64 3593 2.57e-11 ****
Moss MPA_db2025 Hill_2 Index_value A B 67 64 3410 5.65e-9 ****
Moss MPA_db2025 Richness Index_value A B 67 64 3804 2e-14 ****
Moss MPA_db2025 Shannon Index_value A B 67 64 3593 2.57e-11 ****
Moss MPA_db2025 Simpson Index_value A B 67 64 3410 5.65e-9 ****
Moss MPA_db2025 Tail Index_value A B 67 64 3728 3.07e-13 ****
Moss SM_RefSeq_20250528 Hill_1 Index_value A B 67 64 4005 1.07e-17 ****
Moss SM_RefSeq_20250528 Hill_2 Index_value A B 67 64 3931 1.94e-16 ****
Moss SM_RefSeq_20250528 Richness Index_value A B 67 64 3828.5 8.75e-15 ****
Moss SM_RefSeq_20250528 Shannon Index_value A B 67 64 4005 1.07e-17 ****
Moss SM_RefSeq_20250528 Simpson Index_value A B 67 64 3931 1.94e-16 ****
Moss SM_RefSeq_20250528 Tail Index_value A B 67 64 3962 5.83e-17 ****
Moss SM_genbank-2022.03 Hill_1 Index_value A B 67 64 3686 1.27e-12 ****
Moss SM_genbank-2022.03 Hill_2 Index_value A B 67 64 3407 6.13e-9 ****
Moss SM_genbank-2022.03 Richness Index_value A B 67 64 3969.5 4.3e-17 ****
Moss SM_genbank-2022.03 Shannon Index_value A B 67 64 3686 1.27e-12 ****
Moss SM_genbank-2022.03 Simpson Index_value A B 67 64 3407 6.13e-9 ****
Moss SM_genbank-2022.03 Tail Index_value A B 67 64 3889 9.56e-16 ****
Moss SM_gtdb-rs214-full Hill_1 Index_value A B 67 64 3893 8.22e-16 ****
