filepath,count
PD/preproc/SRR19064420/SRR19064420_paired_1.fastq,19614683
PD/preproc/SRR19064421/SRR19064421_paired_1.fastq,17886704
PD/preproc/SRR19064422/SRR19064422_paired_1.fastq,17764874
PD/preproc/SRR19064423/SRR19064423_paired_1.fastq,18417241
PD/preproc/SRR19064424/SRR19064424_paired_1.fastq,19952330
PD/preproc/SRR19064425/SRR19064425_paired_1.fastq,16132064
PD/preproc/SRR19064426/SRR19064426_paired_1.fastq,16416245
PD/preproc/SRR19064427/SRR19064427_paired_1.fastq,20023964
PD/preproc/SRR19064428/SRR19064428_paired_1.fastq,17263851
PD/preproc/SRR19064429/SRR19064429_paired_1.fastq,17788723
PD/preproc/SRR19064430/SRR19064430_paired_1.fastq,21587817
PD/preproc/SRR19064431/SRR19064431_paired_1.fastq,17428743
PD/preproc/SRR19064432/SRR19064432_paired_1.fastq,19379957
PD/preproc/SRR19064433/SRR19064433_paired_1.fastq,17306495
PD/preproc/SRR19064434/SRR19064434_paired_1.fastq,26443673
PD/preproc/SRR19064435/SRR19064435_paired_1.fastq,34665717
PD/preproc/SRR19064436/SRR19064436_paired_1.fastq,36865950
PD/preproc/SRR19064437/SRR19064437_paired_1.fastq,31466750
PD/preproc/SRR19064438/SRR19064438_paired_1.fastq,41284770
PD/preproc/SRR19064439/SRR19064439_paired_1.fastq,23271469
PD/preproc/SRR19064440/SRR19064440_paired_1.fastq,37918577
PD/preproc/SRR19064441/SRR19064441_paired_1.fastq,34280710
PD/preproc/SRR19064442/SRR19064442_paired_1.fastq,25128327
PD/preproc/SRR19064443/SRR19064443_paired_1.fastq,28082308
PD/preproc/SRR19064444/SRR19064444_paired_1.fastq,34167361
PD/preproc/SRR19064445/SRR19064445_paired_1.fastq,22944465
PD/preproc/SRR19064446/SRR19064446_paired_1.fastq,40188938
PD/preproc/SRR19064447/SRR19064447_paired_1.fastq,21896784
PD/preproc/SRR19064448/SRR19064448_paired_1.fastq,35643768
PD/preproc/SRR19064449/SRR19064449_paired_1.fastq,25834302
