feature	Acidovorax	Acinetobacter	Actinomyces	Agrobacterium	Alcaligenes	Anoxybacillus	Aquabacterium	Azospirillum	Bacillus	Bifidobacterium	Brevundimonas	Burkholderia	Comamonas	Corynebacterium	Cupriavidus	Cutibacterium	Dermacoccus	Effusibacillus	Enterococcus	Escherichia	Haemophilus	Halomonas	Herbaspirillum	Hydrogenophilus	Hylemonella	Klebsiella	Kocuria	Lactobacillus	Lawsonella	Limosilactobacillus	Listeria	Meiothermus	Microbacterium	Micrococcus	Moraxella	Mycobacterium	NICIL.2	Neisseria	Paraburkholderia	Paracoccus	Phocaeicola	Prevotella	Pseudomonas	Rothia	Salmonella	Sphingobium	Staphylococcus	Stenotrophomonas	Streptococcus	Stutzerimonas	Tepidimonas	Thermoflavifilum	Thiopseudomonas
SRR20002456	482	3555	0	0	0	0	10880	0	0	0	0	0	0	0	731	3952	0	0	0	0	0	0	2452	0	1809	0	0	2674	0	0	0	0	0	489	0	545	0	0	10120	0	0	0	75147	0	0	502	0	0	0	64958	0	0	0
SRR20002459	1204	5591	389	969	0	0	15275	0	0	0	422	440	0	0	720	6446	0	0	2283	496	0	377	2644	0	1819	0	258	0	0	0	0	0	0	905	8198	2592	0	0	11643	988	0	0	100965	0	0	713	83775	0	0	75827	0	0	0
SRR20002464	316	943	0	143	0	877	4672	5867	0	402	0	0	0	227	230	2921	0	490	0	301	0	0	609	356	559	0	0	0	0	0	0	8912	0	142	166	406	1654	0	4043	0	948	403	40784	0	0	215	0	0	0	19251	0	535	0
SRR20002465	375	1068	0	152	581	0	6303	0	191	6803	0	192	0	761288	442	4574	733	0	0	401	0	0	987	0	840	0	0	0	138	156	0	0	0	0	0	609	0	0	6354	970	0	17821	50659	0	374	345	0	0	2723	27122	0	0	1565
SRR20002466	1520	5843	0	864	1381	0	24557	1535	0	0	0	1321	0	0	1070	17460	0	0	0	0	0	0	3645	0	2983	0	0	0	0	0	0	288	0	946	449	990	0	456	17657	0	0	0	166801	535	0	830	111483	0	0	106078	0	0	2349
SRR20002468	0	0	0	0	0	0	0	0	0	0	0	0	0	393017	0	0	0	0	0	382026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2403	815	0	0	0	3402	0	331	337	0	0	0
SRR20002473	1004	2542	408	311	0	0	12175	0	237	0	0	282	0	536	1081	6443	0	0	183	0	0	256	2320	0	1708	0	0	0	503	0	0	0	0	302	0	385	0	0	11604	0	0	0	89826	0	219	546	1365680	0	11130	58515	0	0	0
SRR20002474	1584	6190	0	0	5346	0	19552	1207	428	0	652	9481	0	0	1441	12203	0	0	0	0	0	422	3500	0	2765	601	15521	0	765	0	504	0	319	1531	397	2157	0	0	20165	0	587	0	141694	0	0	1602	3978	0	1260	104156	0	0	518
SRR20002475	2094	9864	590	1435	8491	0	27372	780	0	0	0	523	3978	0	2253	41850	433	0	0	0	0	550	4970	335	3563	11663	867	0	1308	0	0	175	744	928	474	6428	0	0	27998	0	0	0	201744	0	0	1440	2527	3063	30930	148531	0	0	0
SRR20002477	1195	5682	1120	853	0	1752	14801	913	0	0	0	789	0	2387	916	11649	727	892	0	0	343	353	2364	676	1969	0	0	209	210	0	0	12775	697	1621	427	2663	358	8594	16457	0	0	0	123258	1103	0	661	1063	0	2696	71369	327	811	0
SRR20002478	174	688	0	115	0	294	2520	268	0	0	0	0	0	0	172	1818	0	199	0	0	0	0	402	0	344	0	0	0	0	0	0	3704	0	332	0	0	192	0	1842	0	0	0	64020	0	0	0	0	0	0	11228	0	234	0
SRR20002479	0	204	0	0	0	0	1117	0	0	0	0	196	0	0	0	832	0	0	0	0	0	0	164	0	199	0	0	0	0	0	0	0	0	0	0	0	0	0	664	0	0	0	6550	0	0	0	27250	0	0	6075	0	0	0
SRR20002481	0	0	0	0	0	0	109	0	0	0	0	0	0	0	0	225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1413	0	0	0	0	234	0	0	0	231	0	1537	0	0	0	0	0	0	603	0	0	0
SRR20002482	254	773	0	149	0	1001	4371	122	0	0	0	1858	0	150	266	2919	0	436	0	0	0	0	551	413	557	0	0	0	0	0	0	10455	0	300	0	217	2595	0	3088	155	0	0	30535	0	0	178	120	0	0	20119	0	639	0
SRR20002486	404	1478	0	239	0	0	7457	1626	0	0	0	184	0	0	490	6639	0	0	0	0	0	135	1182	0	873	0	0	0	0	0	0	0	0	298	118	313	0	0	6372	264	0	0	59019	0	0	298	236	0	0	32174	0	0	0
SRR20002487	1548	4608	0	461	0	2983	11259	2123	0	0	301	877	490	564	635	17897	0	992	0	369	0	263	1849	991	1197	0	0	0	0	0	0	22401	0	492	343	415	5225	0	10847	0	0	0	399052	0	354	467	808	728	0	53618	263	1802	0
