feature	Actinomycetaceae	Anoxybacillaceae	Azospirillaceae	Bacillaceae	Bacteroidaceae	Bifidobacteriaceae	Burkholderiaceae	Caulobacteraceae	Chitinophagaceae	Dermatophilaceae	Effusibacillaceae	Enterobacteriaceae	Halomonadaceae	Lactobacillaceae	Listeriaceae	Microbacteriaceae	Micrococcaceae	Moraxellaceae	Mycobacteriaceae	NICIL.2	Neisseriaceae	Pasteurellaceae	Propionibacteriaceae	Pseudomonadaceae	Rhizobiaceae	Rhodobacteraceae	Rhodocyclaceae	Sphingomonadaceae	Staphylococcaceae	Streptococcaceae	Thermaceae	Xanthomonadaceae
SRR20002419	0	0	0	0.0324849680000829	0	0	0.399678533996003	0	0	0.0693974590796222	0	0.0881844224829039	0.0349317430402838	0.0467122187390674	0.0380945153167586	0	0.0491237725691245	0.111883352691905	0.0726573027515339	0	0.0450679403227275	0	0.4585097979599	0.890454039153552	0.0508692739847253	0	0	0.0446474364864969	0.0563273419092669	0	0	0
SRR20002420	0	0	0	0	0	0	0.401125904459592	0	0	0	0	0	0	0.0585887126068942	0	0	0	0.0827807490248383	0.108399779367497	0	0	0	0.234030686801826	1.07007228999229	0	0	0	0	0	0	0.0475067514328144	0
SRR20002421	0	0	0	0	0	0	0.289879436286522	0.0592046250313607	0	0	0	0.0622995187281901	0	0	0	0	0	0.0654882877456033	0	0	0	0	0.193866632582389	0.664015582386644	0	0	0	0	0.772184163027359	0.0541374226260898	0	0
SRR20002422	0.030101177203258	0	0	0	0	0	0.203492118090499	0.0229192551353305	0	0.0236012912328803	0	0.0243409782342427	0.0200295663157187	0.0235220774111742	0.0195103883399187	0.020806479597398	0.0277790181151871	0.0678749148416906	0.101824077322286	0	0	0.0310626420186711	0.525580667821044	0.459349071228239	0.0264362454485779	0	0	0.0234823703692854	0.766178376426999	0.086631166585747	0.0181989540784886	0
SRR20002425	0	0	0.119437753899669	0	0.0299727013799397	0	0.387880473967145	0	0	0.0352458014935303	0	0.0431184195903047	0.0416297854100939	0	0	0	0.155129711150867	0.155728922370371	0.105804393737121	0	0	0	0.189088527839649	1.01276234218375	0.0407387073251291	0.0970834369999789	0	0.0514413415555815	0.0834147581992667	0.0318274823073602	0.0366491460043569	0
SRR20002427	0	0	0.0229018398731094	0	1.19228197579261	0.0826709754490255	0.112073610967115	0	0	0.0402351579808217	0	0	0	0.031268060481942	0	0	0.0224769284824274	0.0355875080364669	0.2190212270246	0	0	0	0.0541545676593494	0.243044678378103	0.014831781823224	0	0	0.0113194424704021	0.0131499462845665	0.0614114525040407	0	0
SRR20002430	0.0392856194570949	0	0	0	0.0320314663932493	0	0.254365749547403	0	0	0.142348572335197	0	0.0696069547962537	0	0	0	0.035413464874455	0.109224581401072	0.085351199986182	0.128816856859818	0	0.196899842925526	0.0968838519023781	0.254123311804016	1.0373999245584	0	0	0	0	0.0931343261611704	0.103042408965601	0.026805668885672	0
SRR20002433	0	0	0.0329953706079717	0.0337908530727896	0	0	0.362627613087537	0	0	0	0	0.0789855150723662	0	0.0529547642285547	0.040429520244341	0	0	0.118283631093598	0.0967750495258832	0	0	0	0.467597623637139	0.882545956408297	0.0444160330056833	0.174038870589716	0	0.0402798658639883	0.0618839177734319	0	0.0300460289895946	0
SRR20002435	0	0.0288721002514562	0.0208971019099903	0	0	0	0.059011428581797	0	0.0213444824165445	0	0.022212243623595	0.193509630077284	0	0.038397067862621	0	0	0	0.0158057223116203	1.29413518161741	0.028432278468528	0	0	0.0407854996084102	0.140823882900341	0	0	0	0	0.0187803185562136	0	0.0877649296055901	0
SRR20002439	0	0	0	0	0	0.198743265552182	0.369814867114384	0	0	0	0	0	0	0	0	0	0.274348782035528	0	0	0	0	0	0.347920111353596	0.928063608245758	0	0	0	0	0	0	0	0
